game_id,competition_id,competition_type,season,round,date,home_club_id,away_club_id,home_club_goals,away_club_goals,aggregate,home_club_position,away_club_position,club_home_name,club_away_name,home_club_manager_name,away_club_manager_name,stadium,attendance,referee,url
3889053,GR1,domestic_league,2022,10. Matchday,2022-10-29,553,6418,1,1,1:1,14,7,Ionikos Nikeas,Panetolikos Gfs,Dimitrios Spanos,Giannis Anastasiou,Dimotiko Gipedo Neapolis,1133,Anastasios Papapetrou,https://www.transfermarkt.co.uk/ionikos-nikeas_panetolikos-gfs/index/spielbericht/3889053
3889045,GR1,domestic_league,2022,9. Matchday,2022-10-24,2672,2441,0,2,0:2,13,2,Apo Levadiakos,Aek Athen,Jasminko Velic,Matías Almeyda,Stadio Livadias,3225,Christos Vergetis,https://www.transfermarkt.co.uk/apo-levadiakos_aek-athens/index/spielbericht/3889045
3889066,GR1,domestic_league,2022,12. Matchday,2022-11-09,3060,6676,2,0,2:0,7,9,Atromitos Athen,Asteras Tripolis,Chris Coleman,Iraklis Metaxas,Stadio Peristeriou,1345,Efstathios Gortsilas,https://www.transfermarkt.co.uk/atromitos-athen_asteras-tripolis/index/spielbericht/3889066
3889047,GR1,domestic_league,2022,9. Matchday,2022-10-23,265,605,1,0,1:0,1,6,Panathinaikos Athen,Aris Thessaloniki,Ivan Jovanovic,Alan Pardew,Apostolos Nikolaidis,12917,Nikola Dabanovic,https://www.transfermarkt.co.uk/panathinaikos-athens_aris-thessaloniki/index/spielbericht/3889047
3889044,GR1,domestic_league,2022,9. Matchday,2022-10-23,553,2671,2,2,2:2,14,12,Ionikos Nikeas,Pas Giannina,Dimitrios Spanos,Athanasios Staikos,Dimotiko Gipedo Neapolis,1329,Athanasios Tzilos,https://www.transfermarkt.co.uk/ionikos-nikeas_pas-giannina/index/spielbericht/3889044
3889048,GR1,domestic_league,2022,9. Matchday,2022-10-22,6418,683,0,2,0:2,7,4,Panetolikos Gfs,Olympiakos Piraus,Giannis Anastasiou,Michel,Gipedo Panetolikou,3288,Andreas Gamaris,https://www.transfermarkt.co.uk/panetolikos-gfs_olympiacos-piraeus/index/spielbericht/3889048
3889046,GR1,domestic_league,2022,9. Matchday,2022-10-24,653,3999,0,0,0:0,11,10,Ofi Kreta,Pas Lamia 1964,Pedro Caravela,Gianluca Festa,Gipedo Theodoros Vardinogiannis,3025,Dimitrios Maloutas,https://www.transfermarkt.co.uk/ofi-crete-fc_pas-lamia-1964/index/spielbericht/3889046
3889051,GR1,domestic_league,2022,10. Matchday,2022-10-30,605,653,1,1,1:1,6,12,Aris Thessaloniki,Ofi Kreta,Alan Pardew,Valdas Dambrauskas,"Gipedo ""Kleanthis Vikelidis""",7006,Georgios Tzovaras,https://www.transfermarkt.co.uk/aris-thessaloniki_ofi-crete-fc/index/spielbericht/3889051
3889040,GR1,domestic_league,2022,8. Matchday,2022-10-17,683,1091,1,2,1:2,5,4,Olympiakos Piraus,Paok Thessaloniki,Michel,Razvan Lucescu,Stadio Georgios Karaiskakis,25100,Andris Treimanis,https://www.transfermarkt.co.uk/olympiacos-piraeus_paok-thessaloniki/index/spielbericht/3889040
3889038,GR1,domestic_league,2022,8. Matchday,2022-10-16,6676,6418,0,0,0:0,9,7,Asteras Tripolis,Panetolikos Gfs,Iraklis Metaxas,Giannis Anastasiou,Gipedo Theodoros Kolokotronis,975,Spyros Zabalas,https://www.transfermarkt.co.uk/asteras-tripolis_panetolikos-gfs/index/spielbericht/3889038
