game_id,competition_id,competition_type,season,round,date,club id,club goals,opposite club id,opposite_club_goals,result,difference_goals
2532501,DK1,domestic_league,2014,26. Matchday,4/26/15,206,4,20100,0,win,4
2532476,DK1,domestic_league,2014,22. Matchday,3/22/15,20100,0,206,1,loss,-1
2532475,DK1,domestic_league,2014,22. Matchday,3/22/15,1053,1,5817,4,loss,-3
2532474,DK1,domestic_league,2014,22. Matchday,3/22/15,1177,2,2778,2,tie,0
2532472,DK1,domestic_league,2014,22. Matchday,3/20/15,173,0,3426,2,loss,-2
2532484,DK1,domestic_league,2014,24. Matchday,4/10/15,5818,3,3426,1,win,2
2532477,DK1,domestic_league,2014,22. Matchday,3/22/15,190,1,5724,1,tie,0
2532470,DK1,domestic_league,2014,21. Matchday,3/15/15,206,2,173,0,win,2
2532468,DK1,domestic_league,2014,21. Matchday,3/15/15,2778,2,20100,0,win,2
2532481,DK1,domestic_league,2014,23. Matchday,4/6/15,206,0,190,0,tie,0
2532467,DK1,domestic_league,2014,21. Matchday,3/14/15,5817,1,1177,4,loss,-3
2532465,DK1,domestic_league,2014,20. Matchday,3/9/15,20100,1,173,2,loss,-1
2532469,DK1,domestic_league,2014,21. Matchday,3/15/15,3426,0,190,1,loss,-1
2532463,DK1,domestic_league,2014,20. Matchday,3/8/15,865,3,3426,0,win,3
2532471,DK1,domestic_league,2014,21. Matchday,3/16/15,5818,1,1053,0,win,1
2532473,DK1,domestic_league,2014,22. Matchday,3/21/15,865,3,5818,0,win,3
2532462,DK1,domestic_league,2014,20. Matchday,3/8/15,190,3,206,1,win,2
2532461,DK1,domestic_league,2014,20. Matchday,3/8/15,1177,0,5818,1,loss,-1
2532502,DK1,domestic_league,2014,27. Matchday,5/3/15,20100,2,2778,1,win,1
2532459,DK1,domestic_league,2014,19. Matchday,3/2/15,3426,1,1053,3,loss,-2
2532458,DK1,domestic_league,2014,19. Matchday,3/1/15,206,1,865,1,tie,0
2532534,DK1,domestic_league,2014,32. Matchday,5/31/15,5817,1,190,2,loss,-1
2532455,DK1,domestic_league,2014,19. Matchday,2/28/15,5818,1,2778,0,win,1
2532478,DK1,domestic_league,2014,23. Matchday,4/4/15,5817,1,2778,2,loss,-1
2532452,DK1,domestic_league,2014,18. Matchday,2/22/15,1053,1,206,0,win,1
2532451,DK1,domestic_league,2014,18. Matchday,2/22/15,190,2,20100,0,win,2
2532450,DK1,domestic_league,2014,18. Matchday,2/22/15,5817,1,5818,0,win,1
2532449,DK1,domestic_league,2014,18. Matchday,2/21/15,1177,1,3426,3,loss,-2
2532464,DK1,domestic_league,2014,20. Matchday,3/8/15,1053,2,5724,1,win,1
2532454,DK1,domestic_league,2014,19. Matchday,2/27/15,20100,0,5817,1,loss,-1
2532453,DK1,domestic_league,2014,18. Matchday,2/23/15,865,3,173,0,win,3
