club_id,game_id,own_goals,own_position,own_manager_name,opponent_id,opponent_goals,opponent_position,opponent_manager_name,hosting,is_win
79,2231478,2,12,Bruno Labbadia,42,4,6,Mirko Slomka,Home,0
41,2231472,0,9,Thorsten Fink,27,3,1,Jupp Heynckes,Home,0
16,2231503,0,5,Jürgen Klopp,79,0,10,Bruno Labbadia,Home,0
86,2231498,2,7,Thomas Schaaf,39,1,8,Thomas Tuchel,Home,1
533,2231497,3,13,Markus Babbel,33,2,2,Huub Stevens,Home,1
167,2231450,1,17,Markus Weinzierl,60,1,11,Christian Streich,Home,0
4,2231496,1,14,Dieter Hecking,82,0,16,Lorenz-Günther Köstner,Home,1
42,2231493,2,6,Mirko Slomka,167,0,18,Markus Weinzierl,Home,1
24,2231476,1,3,Armin Veh,65,1,17,Mike Büskens,Home,0
18,2231499,1,11,Lucien Favre,60,1,12,Christian Streich,Home,0
39,2231471,2,7,Thomas Tuchel,4,1,15,Dieter Hecking,Home,1
27,2231494,1,1,Jupp Heynckes,15,2,5,Sascha Lewandowski,Home,0
38,2231500,1,13,Norbert Meier,82,4,16,Lorenz-Günther Köstner,Home,0
33,2231491,1,2,Huub Stevens,4,0,15,Dieter Hecking,Home,1
60,2231488,0,12,Christian Streich,16,2,4,Jürgen Klopp,Home,0
79,2231489,2,8,Bruno Labbadia,24,1,3,Armin Veh,Home,1
533,2231457,1,16,Markus Babbel,15,2,5,Sascha Lewandowski,Home,0
167,2231486,0,17,Markus Weinzierl,41,2,7,Thorsten Fink,Home,0
4,2231512,0,15,Dieter Hecking,167,0,16,Markus Weinzierl,Home,0
42,2231490,2,10,Mirko Slomka,18,3,9,Lucien Favre,Home,0
41,2231505,0,10,Thorsten Fink,79,1,12,Bruno Labbadia,Home,0
86,2231514,4,9,Thomas Schaaf,18,0,13,Lucien Favre,Home,1
16,2231504,1,4,Jürgen Klopp,33,2,3,Huub Stevens,Home,0
38,2231502,0,11,Norbert Meier,27,5,1,Jupp Heynckes,Home,0
24,2231501,3,2,Armin Veh,42,1,6,Mirko Slomka,Home,1
15,2231511,2,5,Sascha Lewandowski,39,2,8,Thomas Tuchel,Home,0
79,2231436,2,15,Bruno Labbadia,15,2,6,Sascha Lewandowski,Home,0
65,2231484,1,18,Mike Büskens,86,1,11,Thomas Schaaf,Home,0
42,2231435,1,5,Mirko Slomka,16,1,4,Jürgen Klopp,Home,0
60,2231434,3,11,Christian Streich,4,0,14,Dieter Hecking,Home,1
65,2231431,0,18,Mike Büskens,41,1,8,Thorsten Fink,Home,0
42,2231480,1,6,Mirko Slomka,60,2,10,Christian Streich,Home,0
82,2231513,0,18,Felix Magath,60,2,7,Christian Streich,Home,0
33,2231406,3,3,Huub Stevens,82,0,17,Felix Magath,Home,1
167,2231432,3,16,Markus Weinzierl,86,1,12,Thomas Schaaf,Home,1
82,2231411,0,16,Felix Magath,39,2,11,Thomas Tuchel,Home,0
15,2231495,3,4,Sascha Lewandowski,38,2,15,Norbert Meier,Home,1
39,2231492,3,6,Thomas Tuchel,533,0,14,Markus Babbel,Home,1
24,2231398,2,2,Armin Veh,60,1,14,Christian Streich,Home,1
39,2231430,1,9,Thomas Tuchel,38,0,7,Norbert Meier,Home,1
16,2231408,5,3,Jürgen Klopp,18,0,13,Lucien Favre,Home,1
15,2231407,2,7,Sascha Lewandowski,65,0,17,Mike Büskens,Home,1
86,2231395,0,8,Thomas Schaaf,27,2,1,Jupp Heynckes,Home,0
38,2231397,2,6,Norbert Meier,33,2,4,Huub Stevens,Home,0
533,2231506,3,14,Markus Babbel,65,3,17,Mike Büskens,Home,0
533,2231396,0,9,Markus Babbel,167,0,18,Markus Weinzierl,Home,0
18,2231417,2,10,Lucien Favre,41,2,14,Thorsten Fink,Home,0
79,2231405,0,17,Bruno Labbadia,533,3,11,Markus Babbel,Home,0
42,2231400,4,3,Mirko Slomka,4,1,9,Dieter Hecking,Home,1
41,2231399,1,10,Thorsten Fink,42,0,5,Mirko Slomka,Home,1
27,2231402,2,1,Jupp Heynckes,533,0,13,Markus Babbel,Home,1
4,2231394,0,12,Dieter Hecking,79,2,15,Bruno Labbadia,Home,0
27,2231412,3,1,Jupp Heynckes,82,0,13,Felix Magath,Home,1
24,2231403,3,2,Armin Veh,16,3,6,Jürgen Klopp,Home,0
533,2231420,3,16,Markus Babbel,42,1,3,Mirko Slomka,Home,1
33,2231438,3,4,Huub Stevens,39,0,15,Thomas Tuchel,Home,1
15,2231410,1,13,Sascha Lewandowski,18,1,9,Lucien Favre,Home,0
39,2231427,2,12,Thomas Tuchel,167,0,18,Markus Weinzierl,Home,1
60,2231474,0,11,Christian Streich,41,0,10,Thorsten Fink,Home,0
86,2231413,2,11,Thomas Schaaf,79,2,17,Bruno Labbadia,Home,0
38,2231418,0,7,Norbert Meier,60,0,8,Christian Streich,Home,0
82,2231409,1,10,Felix Magath,65,1,14,Mike Büskens,Home,0
4,2231426,1,6,Dieter Hecking,24,2,2,Armin Veh,Home,0
33,2231423,0,5,Huub Stevens,27,2,1,Jupp Heynckes,Home,0
60,2231415,5,8,Christian Streich,533,3,18,Markus Babbel,Home,1
65,2231422,0,13,Mike Büskens,33,2,4,Huub Stevens,Home,0
27,2231429,3,1,Jupp Heynckes,39,1,14,Thomas Tuchel,Home,1
42,2231425,3,3,Mirko Slomka,86,2,11,Thomas Schaaf,Home,1
16,2231428,3,5,Jürgen Klopp,15,0,12,Sascha Lewandowski,Home,1
18,2231419,2,9,Lucien Favre,4,3,6,Dieter Hecking,Home,0
79,2231416,0,16,Bruno Labbadia,38,0,7,Norbert Meier,Home,0
27,2231393,6,1,Jupp Heynckes,79,1,18,Bruno Labbadia,Home,1
82,2231385,0,12,Felix Magath,42,4,3,Mirko Slomka,Home,0
38,2231389,0,5,Norbert Meier,18,0,8,Lucien Favre,Home,0
15,2231392,2,9,Sascha Lewandowski,60,0,14,Christian Streich,Home,1
167,2231421,0,15,Markus Weinzierl,82,0,10,Felix Magath,Home,0
86,2231390,2,10,Thomas Schaaf,41,0,15,Thorsten Fink,Home,1
4,2231387,1,7,Dieter Hecking,16,1,6,Jürgen Klopp,Home,0
533,2231386,0,17,Markus Babbel,24,4,2,Armin Veh,Home,0
39,2231388,0,13,Thomas Tuchel,65,1,11,Mike Büskens,Home,0
33,2231391,3,4,Huub Stevens,167,1,16,Markus Weinzierl,Home,1
24,2231424,3,2,Armin Veh,41,2,17,Thorsten Fink,Home,1
24,2222542,2,5,Armin Veh,15,1,12,Sascha Lewandowski,Home,1
42,2222536,2,9,Mirko Slomka,33,2,8,Huub Stevens,Home,0
18,2231433,2,10,Lucien Favre,24,0,2,Armin Veh,Home,1
65,2222543,0,18,Mike Büskens,27,3,1,Jupp Heynckes,Home,0
41,2222541,0,15,Thorsten Fink,4,1,6,Dieter Hecking,Home,0
41,2231414,3,15,Thorsten Fink,16,2,4,Jürgen Klopp,Home,1
167,2222540,0,17,Markus Weinzierl,38,2,2,Norbert Meier,Home,0
16,2222535,2,3,Jürgen Klopp,86,1,13,Thomas Schaaf,Home,1
3336,2252858,3,-1,José Vilaça,7179,0,-1,Vítor Paneira,Home,1
2423,2252859,5,-1,Luís Miguel,3348,0,-1,Professor Neca,Home,1
7179,2247459,0,-1,Vítor Paneira,2423,1,-1,Luís Miguel,Home,0
3336,2247458,5,-1,José Vilaça,3348,1,-1,Professor Neca,Home,1
3327,2258405,1,-1,Miguel Leal,7378,1,-1,Lázaro Oliveira,Home,0
18,2222537,2,4,Lucien Favre,533,1,14,Markus Babbel,Home,1
3345,2252857,1,-1,Horácio Gonçalves,3327,1,-1,Miguel Leal,Home,0
